Município,Classificação,Funcionarios
Pratápolis,Alimentação,41
Pratápolis,Entretenimento,4
Pratápolis,Agência e Operadores,1
Santa Rita do Sapucaí,Transportes,69
Santa Rita do Sapucaí,Hospedagem,48
Santa Rita do Sapucaí,Entretenimento,52
Santa Rita do Sapucaí,Comércio e Serviços,93
Santa Rita do Sapucaí,Agência e Operadores,13
Santa Rita do Sapucaí,Alimentação,245
Santana da Vargem,Comércio e Serviços,18
Santana da Vargem,Transportes,57
Santana da Vargem,Hospedagem,6
Santana da Vargem,Entretenimento,3
Santana da Vargem,Alimentação,23
Santana da Vargem,Agência e Operadores,0
São Bento Abade,Comércio e Serviços,0
São Bento Abade,Transportes,0
São Bento Abade,Hospedagem,0
São Bento Abade,Alimentação,10
São Bento Abade,Entretenimento,2
São Bento Abade,Agência e Operadores,0
São Gonçalo do Sapucaí,Transportes,12
São Gonçalo do Sapucaí,Entretenimento,21
São Gonçalo do Sapucaí,Comércio e Serviços,39
São Gonçalo do Sapucaí,Hospedagem,16
São Gonçalo do Sapucaí,Alimentação,234
São Gonçalo do Sapucaí,Agência e Operadores,1
São João Batista do Glória,Transportes,0
São João Batista do Glória,Alimentação,108
São João Batista do Glória,Entretenimento,12
São João Batista do Glória,Comércio e Serviços,12
São João Batista do Glória,Agência e Operadores,2
São João Batista do Glória,Hospedagem,52
São João da Mata,Comércio e Serviços,11
São João da Mata,Transportes,0
São João da Mata,Hospedagem,0
São João da Mata,Alimentação,2
São João da Mata,Entretenimento,1
São João da Mata,Agência e Operadores,0
São José da Barra,Comércio e Serviços,1
São José da Barra,Transportes,5
São José da Barra,Alimentação,15
São José da Barra,Entretenimento,15
São José da Barra,Agência e Operadores,0
São José da Barra,Hospedagem,5
São José do Alegre,Comércio e Serviços,2
São José do Alegre,Transportes,3
São José do Alegre,Hospedagem,0
São José do Alegre,Alimentação,10
São José do Alegre,Entretenimento,1
São José do Alegre,Agência e Operadores,0
São Lourenço,Transportes,46
São Lourenço,Hospedagem,432
São Lourenço,Entretenimento,114
São Lourenço,Comércio e Serviços,178
São Lourenço,Alimentação,681
São Lourenço,Agência e Operadores,5
São Pedro da União,Comércio e Serviços,3
São Pedro da União,Transportes,0
São Pedro da União,Hospedagem,0
São Pedro da União,Alimentação,1
São Pedro da União,Entretenimento,2
São Pedro da União,Agência e Operadores,0
São Sebastião da Bela Vista,Comércio e Serviços,1
São Sebastião da Bela Vista,Transportes,2
São Sebastião da Bela Vista,Hospedagem,0
São Sebastião da Bela Vista,Alimentação,178
São Sebastião da Bela Vista,Entretenimento,5
São Sebastião da Bela Vista,Agência e Operadores,0
São Sebastião do Paraíso,Transportes,64
São Sebastião do Paraíso,Comércio e Serviços,209
São Sebastião do Paraíso,Agência e Operadores,16
São Sebastião do Paraíso,Entretenimento,141
São Sebastião do Paraíso,Hospedagem,152
São Sebastião do Paraíso,Alimentação,504
São Tomás de Aquino,Alimentação,6
São Tomás de Aquino,Comércio e Serviços,5
São Tomás de Aquino,Transportes,0
São Tomás de Aquino,Hospedagem,0
São Tomás de Aquino,Entretenimento,4
São Tomás de Aquino,Agência e Operadores,0
São Sebastião do Rio Verde,Alimentação,1
São Sebastião do Rio Verde,Entretenimento,1
São Sebastião do Rio Verde,Comércio e Serviços,0
